//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ProductID	ProductNumber	ItemGroup	ItemIndex	Price	Durability	UseTime	80	Level	Skill	Luck	Option	ExOpt	AncOp	Comment
1000	1000	13	44	250	0	1440	80	0	0	0	0	0	0	// Seal of Wealth (1 Days)
1000	1001	13	44	1250	0	10080	80	0	0	0	0	0	0	// Seal of Wealth (7 Days)
1000	1002	13	44	2750	0	43200	80	0	0	0	0	0	0	// Seal of Wealth (30 Days)
1010	1010	13	76	200	0	1440	80	0	0	0	0	0	0	// Panda Ring (1 Days)
1010	1011	13	76	1000	0	10080	80	0	0	0	0	0	0	// Panda Ring (7 Days)
1010	1012	13	76	2150	0	43200	80	0	0	0	0	0	0	// Panda Ring (30 Days)
1020	1020	13	63	100	0	1440	80	2	0	0	0	0	0	// Seal of Divinity (1 Days)
1020	1021	13	63	450	0	10080	80	0	0	0	0	0	0	// Seal of Divinity (7 Days)
1020	1022	13	63	1250	0	43200	80	0	0	0	0	0	0	// Seal of Divinity (30 Days)
1030	1030	13	43	200	0	1440	80	0	0	0	0	0	0	// Seal of Ascension (1 Days)
1030	1031	13	43	1050	0	10080	80	0	0	0	0	0	0	// Seal of Ascension (7 Days)
1030	1032	13	43	2450	0	43200	80	0	0	0	0	0	0	// Seal of Ascension (30 Days)
1040	1040	13	122	200	0	1440	80	0	0	0	0	0	0	// Skeleton Transformation Ring (1 Days)
1040	1041	13	122	1000	0	10080	80	0	0	0	0	0	0	// Skeleton Transformation Ring (7 Days)
1040	1042	13	122	2150	0	43200	80	0	0	0	0	0	0	// Skeleton Transformation Ring (30 Days)
1050	1050	13	80	250	0	1440	80	0	0	0	0	0	0	// Pet Panda (1 Days)
1050	1051	13	80	1150	0	10080	80	0	0	0	0	0	0	// Pet Panda (7 Days)
1050	1052	13	80	2150	0	43200	80	0	0	0	0	0	0	// Pet Panda (30 Days)
1060	1060	13	123	250	0	1440	80	0	0	0	0	0	0	// Pet Skeleton (1 Days)
1060	1061	13	123	1150	0	10080	80	0	0	0	0	0	0	// Pet Skeleton (7 Days)
1060	1062	13	123	2150	0	43200	80	0	0	0	0	0	0	// Pet Skeleton (30 Days)
1070	1070	13	46	100	0	0	80	0	0	0	0	0	0	// Devil Square Ticket (1 UN)
1080	1080	13	46	900	0	0	80	0	0	0	0	0	0	// Devil Square Ticket (10 UN)
1090	1090	13	47	100	0	0	80	0	0	0	0	0	0	// Blood Castle Ticket (1 UN)
1100	1100	13	47	900	0	0	80	0	0	0	0	0	0	// Blood Castle Ticket (10 UN)
1110	1110	13	48	900	0	0	80	0	0	0	0	0	0	// Kalima Ticket (10 UN)
1120	1120	13	64	100	0	1440	80	0	0	0	0	0	0	// Demon (1 Days)
1120	1121	13	64	500	0	10080	80	0	0	0	0	0	0	// Demon (7 Days)
1120	1122	13	64	1400	0	43200	80	0	0	0	0	0	0	// Demon (30 Days)
