0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Silver Medal"	         1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0			31		7			9			1		1		2		0
0			16		7			9			1		1		2		0
0			34		7			9			1		1		2		0
0			18		7			9			1		1		2		0
2			11		7			9			1		1		2		0
4			16		7			9			1		1		2		0
5			16		7			9			1		1		2		0
5			11		7			9			1		1		2		0
5			9		7			9			0		1		2		0
6			15		7			9			1		1		2		0
7			16		7			9			0		1		2		0
8			16		7			9			0		1		2		0
9			16		7			9			0		1		2		0
10			16		7			9			0		1		2		0
11			16		7			9			0		1		2		0
7			18		7			9			0		1		2		0
8			18		7			9			0		1		2		0
9			18		7			9			0		1		2		0
10			18		7			9			0		1		2		0
11			18		7			9			0		1		2		0
7			19		7			9			0		1		2		0
8			19		7			9			0		1		2		0
9			19		7			9			0		1		2		0
10			19		7			9			0		1		2		0
11			19		7			9			0		1		2		0
8			15		7			9			0		1		2		0
9			15		7			9			0		1		2		0
10			15		7			9			0		1		2		0
11			15		7			9			0		1		2		0
7			41		7			9			0		1		2		0
8			41		7			9			0		1		2		0
9			41		7			9			0		1		2		0
10			41		7			9			0		1		2		0
11			41		7			9			0		1		2		0
7			60		7			9			0		1		2		0
8			60		7			9			0		1		2		0
9			60		7			9			0		1		2		0
end
