0
//EventName      DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Selupan"		 1000	        100		        3		        0		        0		       0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent

end
2
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   SetOption   SocketOption  
0	         20	       1	    4	      0	       0	  0	        3           0           1
0	         21	       1	    4	      0	       0	  0	        3           0           1
0	         24	       1	    4	      0	       0	  0	        3           0           1
0	         34	       1	    4	      0	       0	  0	        3           0           1
3	         11	       1	    4	      0	       0	  0	        3           0           1
4	         19	       1	    4	      0	       0	  0	        3           0           1
4	         20	       1	    4	      0	       0	  0	        3           0           1
5	         13	       1	    4	      0	       0	  0	        3           0           1
5	         18	       1	    4	      0	       0	  0	        3           0           1
6	         14	       1	    4	      0	       0	  0	        3           0           1
6	         15	       1	    4	      0	       0	  0	        3           0           1
6	         16	       1	    4	      0	       0	  0	        3           0           1
7	         21	       1	    4	      0	       0	  0	        3           0           1
7	         22	       1	    4	      0	       0	  0	        3           0           1
7	         24	       1	    4	      0	       0	  0	        3           0           1
7	         28	       1	    4	      0	       0	  0	        3           0           1
7	         42	       1	    4	      0	       0	  0	        3           0           1
7	         61	       1	    4	      0	       0	  0	        3           0           1
8	         21	       1	    4	      0	       0	  0	        3           0           1
8	         22	       1	    4	      0	       0	  0	        3           0           1
8	         23	       1	    4	      0	       0	  0	        3           0           1
8	         24	       1	    4	      0	       0	  0	        3           0           1
8	         28	       1	    4	      0	       0	  0	        3           0           1
8	         42	       1	    4	      0	       0	  0	        3           0           1
8	         61	       1	    4	      0	       0	  0	        3           0           1
9	         21	       1	    4	      0	       0	  0	        3           0           1
9	         22	       1	    4	      0	       0	  0	        3           0           1
9	         23	       1	    4	      0	       0	  0	        3           0           1
9	         24	       1	    4	      0	       0	  0	        3           0           1
9	         28	       1	    4	      0	       0	  0	        3           0           1
9	         42	       1	    4	      0	       0	  0	        3           0           1
9	         61	       1	    4	      0	       0	  0	        3           0           1
10	         21	       1	    4	      0	       0	  0	        3           0           1
10	         22	       1	    4	      0	       0	  0	        3           0           1
10	         23	       1	    4	      0	       0	  0	        3           0           1
10	         24	       1	    4	      0	       0	  0	        3           0           1
10	         28	       1	    4	      0	       0	  0	        3           0           1
