07:42:08 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
07:44:16 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
11:41:49 [AccountInfo] Account disconnected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
11:41:51 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
12:54:27 [AccountInfo] Account connected (Account: wadmin, IpAddress: 192.168.101.5, GameServerCode: 0)
12:55:51 [AccountInfo] Account disconnected (Account: wadmin, IpAddress: 192.168.101.5, GameServerCode: 0)
12:57:13 [AccountInfo] Account connected (Account: wadmin, IpAddress: 192.168.101.5, GameServerCode: 0)
13:00:03 [AccountInfo] Account disconnected (Account: wadmin, IpAddress: 192.168.101.5, GameServerCode: 0)
14:01:51 [AccountInfo] Account disconnected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
15:15:58 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
16:17:00 [AccountInfo] Account disconnected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
18:51:28 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
18:51:41 [AccountInfo] Account disconnected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
18:52:18 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
19:08:46 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
19:22:58 [AccountInfo] Account connected (Account: wadmin, IpAddress: 192.168.101.5, GameServerCode: 0)
19:41:36 [AccountInfo] Account disconnected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
