09:10:56 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
10:44:11 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
15:26:14 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
15:27:01 [AccountInfo] Account connected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
15:38:06 [AccountInfo] Account connected (Account: kojizu3, IpAddress: 192.168.101.5, GameServerCode: 0)
15:38:45 [AccountInfo] Account disconnected (Account: kojizu3, IpAddress: 192.168.101.5, GameServerCode: 0)
16:00:55 [AccountInfo] Account disconnected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
16:01:20 [AccountInfo] Account connected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
16:17:12 [AccountInfo] Account connected (Account: kojizu3, IpAddress: 192.168.101.5, GameServerCode: 0)
16:31:52 [AccountInfo] Account disconnected (Account: kojizu3, IpAddress: 192.168.101.5, GameServerCode: 0)
17:17:14 [AccountInfo] Account disconnected (Account: kojizu2, IpAddress: 192.168.101.5, GameServerCode: 0)
17:17:15 [AccountInfo] Account disconnected (Account: kojizu, IpAddress: 192.168.101.5, GameServerCode: 0)
